หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
EKH,บริษัท เอกชัยการแพทย์ จำกัด (มหาชน),SET,บริการ,การแพทย์,เลขที่ 99/9 หมู่ที่ 4 ถนนเอกชัย ตำบลโคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร,74000,0-3441-7999 or 1715,0-3441-7903,www.ekachaihospital.com,
EMC,บริษัท อีเอ็มซี จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,140/66 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 28 ถนนสีสม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร,10500,0-2615-6100,0-2615-6128,www.emc.co.th,
EMPIRE,บริษัท ออริจิ้น โกลบอล เอมไพร์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 89 อาคาร เอไอเอ แคปปิตอล เซ็นเตอร์ ชั้น 9 ห้อง 901 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,0-2248-1948,0-2248-1949,https://www.orgempire.com,
EP,บริษัท อีสเทอร์น พาวเวอร์ กรุ๊ป จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"เลขที่ 51/29, 51/61 ซอยวิภาวดีรังสิต66 (สยามสามัคคี) แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร",10210,0-2551-0541-4,"0-2552-0905, 0-2551-0532",http://www.epco.co.th,
EPG,บริษัท อีสเทิร์นโพลีเมอร์ กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,770 หมู่ 6 ถนนเทพารักษ์ อำเภอเมือง สมุทรปราการ,10270,0-2383-6599,0-2383-6532,www.epg.co.th,
ERW,บริษัท ดิ เอราวัณ กรุ๊ป จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,"อาคารเพลินจิต เซ็นเตอร์ ชั้น 6, 2 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร",10110,0-2257-4588,0-2257-4577,http://www.theerawan.com,
ESTAR,บริษัท อีสเทอร์น สตาร์ เรียล เอสเตท จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารเพลินจิตทาวเวอร์ ชั้น 5, 898 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร",10330,0-2263-1010,0-2263-1009,www.estarpcl.com,
ETC,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"88, 88/1 หมู่ที่ 1 ตำบลบ้านธาตุ อำเภอแก่งคอย สระบุรี",18110,0-3620-0294,0-3620-0295,http://www.etcenvi.com,
ETE,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,บริการ,-,88 ซอยโยธินพัฒนา แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร,10240,0-2158-2000,-,www.eastern-groups.com,
ETL,บริษัท ยูโรเอเชีย โทเทิล โลจิสติกส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,88/8 ชั้น 4 ถนนนนทรี แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,10120,0-2123-1727,-,www.etl.co.th,
EURO,บริษัท ยูโร ครีเอชั่นส์ จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,1050 สุขุมวิท 66/1 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,0-2744-9624,0-2744-9624,www.eurocreations.co.th,
EVER,บริษัท เอเวอร์แลนด์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 223/96 อาคาร คันทรี่ ทาวเวอร์ ชั้น 21 ถนนสรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพมหานคร,10260,0-2361-6156-60,0-2720-7598-9,www.everland.co.th,
F&D,บริษัท ฟู้ดแอนด์ดริ๊งส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 183 อาคารรีเจ้นท์ เฮ้าส์ ชั้นที่ 15 ถนนราชดำริ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,0-2253-5232-33,-,www.foodanddrinks.co.th,
FANCY,บริษัท แฟนซีวู๊ด อินดัสตรีส จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,บมจ.แฟนซีวู๊ดอินดัสตรีส สาขา 2 เลขที่ 22 ซอยประดิษฐ์มนูธรรม 23 ถนนประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร,10230,"0-2578-2823 , 0-2578-2824",0-2578-2522,http://www.fancywood.th.com,
FE,บริษัท ฟาร์อีสท์ เฟมไลน์ ดีดีบี จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,465/1-467 ถนนศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร,10400,0-2354-3333,0-2644-9550-2,www.fareastfamelineddb.com,
FLOYD,บริษัท ฟลอยด์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 31/4 หมู่ที่ 2 ซอยวัดส้มเกลี้ยง ถนนกาญจนาภิเษก ตำบลบางแม่นาง อำเภอบางใหญ่ นนทบุรี,11140,"0-2191-6258, 0-2191-6260",0-2191-6262,www.floyd.co.th,
FM,บริษัท ฟู้ดโมเม้นท์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,48 หมู่ที่ 8 ถนนพุทธมณฑลสาย 4 ตำบลกระทุ่มล้ม อำเภอสามพราน นครปฐม,73220,0-2814-3480-9,0-2429-2811,https://www.foodmoments.co.th/,
FMT,บริษัท ไฟน์ เม็ททัล เทคโนโลยีส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,183 อาคารรีเจ้นท์เฮ้าส์ ชั้น 14 ถนนราชดำริห์ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,0-2256-0641-50,0-2256-0651-2,www.fmt.co.th,
FN,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 991 อาคาร เอฟเอ็น บิวดิ้ง ถนนพระราม 9 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,10250,0-2300-4951,0-2300-4681,www.fnoutlet.com,
